State,Date,Hourly Demand Met (in MW),
Uttar Pradesh - 2024,08-Jan 5am,12951.05,
Uttar Pradesh - 2024,08-Jan 6am,12744.86,
Uttar Pradesh - 2024,08-Jan 7am,13417.83,
Uttar Pradesh - 2024,08-Jan 8am,15443.26,
Uttar Pradesh - 2024,08-Jan 9am,15778.39,
Uttar Pradesh - 2024,08-Jan 10am,16509.04,
Uttar Pradesh - 2024,08-Jan 11am,16858.22,
Uttar Pradesh - 2024,08-Jan 12pm,17503.01,
Uttar Pradesh - 2024,08-Jan 1pm,16889.69,
Uttar Pradesh - 2024,08-Jan 2pm,15823.94,
Uttar Pradesh - 2024,08-Jan 3pm,13290.59,
Uttar Pradesh - 2024,08-Jan 4pm,12033.63,
Uttar Pradesh - 2024,08-Jan 5pm,15696.39,
Uttar Pradesh - 2024,08-Jan 6pm,20093.6,
Uttar Pradesh - 2024,08-Jan 7pm,20770.5,
Uttar Pradesh - 2024,08-Jan 8pm,19513.61,
Uttar Pradesh - 2024,08-Jan 9pm,17848.75,
Uttar Pradesh - 2024,08-Jan 10pm,15805.75,
Uttar Pradesh - 2024,08-Jan 11pm,14011.2,
Uttar Pradesh - 2024,09-Jan 12am,12686.18,
Uttar Pradesh - 2024,09-Jan 1am,11933.1,
Uttar Pradesh - 2024,09-Jan 2am,11483.64,
Uttar Pradesh - 2024,09-Jan 3am,11353.45,
Uttar Pradesh - 2024,09-Jan 4am,11852.35,
Uttar Pradesh - 2024,09-Jan 5am,12922.05,
Uttar Pradesh - 2024,09-Jan 6am,12755.89,
Uttar Pradesh - 2024,09-Jan 7am,13082.55,
Uttar Pradesh - 2024,09-Jan 8am,15104.32,
Uttar Pradesh - 2024,09-Jan 9am,16168.53,
Uttar Pradesh - 2024,09-Jan 10am,17264.19,
Uttar Pradesh - 2024,09-Jan 11am,16928.58,
Uttar Pradesh - 2024,09-Jan 12pm,16545.73,
Uttar Pradesh - 2024,09-Jan 1pm,15084.85,
Uttar Pradesh - 2024,09-Jan 2pm,13968.68,
Uttar Pradesh - 2024,09-Jan 3pm,12774.58,
Uttar Pradesh - 2024,09-Jan 4pm,12932.6,
Uttar Pradesh - 2024,09-Jan 5pm,16527.98,
Uttar Pradesh - 2024,09-Jan 6pm,20007.7,
Uttar Pradesh - 2024,09-Jan 7pm,20690.81,
Uttar Pradesh - 2024,09-Jan 8pm,19582.23,
Uttar Pradesh - 2024,09-Jan 9pm,18001.77,
Uttar Pradesh - 2024,09-Jan 10pm,15896.11,
Uttar Pradesh - 2024,09-Jan 11pm,13983.69,
Uttar Pradesh - 2024,10-Jan 12am,12706.68,
Uttar Pradesh - 2024,10-Jan 1am,11968.69,
Uttar Pradesh - 2024,10-Jan 2am,11582.87,
Uttar Pradesh - 2024,10-Jan 3am,11505.04,
Uttar Pradesh - 2024,10-Jan 4am,12044.03,
Uttar Pradesh - 2024,10-Jan 5am,13171.49,
Uttar Pradesh - 2024,10-Jan 6am,12934.59,
Uttar Pradesh - 2024,10-Jan 7am,13634.78,
Uttar Pradesh - 2024,10-Jan 8am,16633.08,
Uttar Pradesh - 2024,10-Jan 9am,17271.24,
Uttar Pradesh - 2024,10-Jan 10am,17983.62,
Uttar Pradesh - 2024,10-Jan 11am,17764.59,
Uttar Pradesh - 2024,10-Jan 12pm,17382.13,
Uttar Pradesh - 2024,10-Jan 1pm,16156.98,
Uttar Pradesh - 2024,10-Jan 2pm,14450.18,
Uttar Pradesh - 2024,10-Jan 3pm,12694.32,
Uttar Pradesh - 2024,10-Jan 4pm,12866.29,
Uttar Pradesh - 2024,10-Jan 5pm,16291.95,
Uttar Pradesh - 2024,10-Jan 6pm,20098.55,
Uttar Pradesh - 2024,10-Jan 7pm,20801.46,
Uttar Pradesh - 2024,10-Jan 8pm,19842.82,
Uttar Pradesh - 2024,10-Jan 9pm,18271.7,
Uttar Pradesh - 2024,10-Jan 10pm,16171.78,
Uttar Pradesh - 2024,10-Jan 11pm,14266.46,
Uttar Pradesh - 2024,11-Jan 12am,12756.65,
Uttar Pradesh - 2024,11-Jan 1am,11905.07,
Uttar Pradesh - 2024,11-Jan 2am,11454.3,
Uttar Pradesh - 2024,11-Jan 3am,11265.35,
Uttar Pradesh - 2024,11-Jan 4am,11774.29,
Uttar Pradesh - 2024,11-Jan 5am,13037.77,
Uttar Pradesh - 2024,11-Jan 6am,12761.29,
Uttar Pradesh - 2024,11-Jan 7am,13114.89,
Uttar Pradesh - 2024,11-Jan 8am,15522.13,
Uttar Pradesh - 2024,11-Jan 9am,17367.79,
Uttar Pradesh - 2024,11-Jan 10am,18365.42,
Uttar Pradesh - 2024,11-Jan 11am,18897.94,
Uttar Pradesh - 2024,11-Jan 12pm,17838.41,
Uttar Pradesh - 2024,11-Jan 1pm,16142.06,
Uttar Pradesh - 2024,11-Jan 2pm,14516.7,
Uttar Pradesh - 2024,11-Jan 3pm,12860.81,
Uttar Pradesh - 2024,11-Jan 4pm,12775.18,
Uttar Pradesh - 2024,11-Jan 5pm,16928.77,
Uttar Pradesh - 2024,11-Jan 6pm,20647.35,
Uttar Pradesh - 2024,11-Jan 7pm,21264.21,
Uttar Pradesh - 2024,11-Jan 8pm,20404.3,
Uttar Pradesh - 2024,11-Jan 9pm,18894.17,
Uttar Pradesh - 2024,11-Jan 10pm,16720.57,
Uttar Pradesh - 2024,11-Jan 11pm,14602.03,
Uttar Pradesh - 2024,12-Jan 12am,13182.14,
Uttar Pradesh - 2024,12-Jan 1am,12127.49,
Uttar Pradesh - 2024,12-Jan 2am,11634.63,
Uttar Pradesh - 2024,12-Jan 3am,11442.28,
